iter	Passed	Remaining
0	12	12038
1	21	10727
2	28	9626
3	37	9334
4	50	10011
5	60	10081
6	71	10084
7	80	9987
8	88	9693
9	95	9493
10	102	9227
11	109	8984
12	114	8723
13	123	8673
14	133	8749
15	142	8759
16	151	8779
17	164	8949
18	172	8888
19	178	8733
20	183	8575
21	190	8454
22	196	8329
23	201	8204
24	206	8066
25	212	7957
26	219	7920
27	227	7888
28	233	7811
29	240	7761
30	245	7688
31	251	7622
32	257	7533
33	262	7461
34	270	7445
35	275	7377
36	280	7304
37	290	7344
38	299	7376
39	308	7403
40	318	7439
41	326	7452
42	334	7438
43	341	7416
44	348	7396
45	354	7356
46	360	7317
47	369	7323
48	379	7371
49	390	7410
50	398	7406
51	408	7446
52	418	7476
53	426	7479
54	435	7476
55	442	7461
56	454	7514
57	465	7556
58	473	7551
59	481	7546
60	488	7525
61	499	7559
62	511	7602
63	521	7620
64	529	7619
65	536	7596
66	542	7554
67	547	7507
68	553	7471
69	559	7428
70	565	7405
71	571	7370
72	577	7337
73	586	7337
74	600	7405
75	610	7428
76	619	7426
77	629	7438
78	644	7517
79	651	7491
80	665	7549
81	674	7552
82	683	7553
83	695	7579
84	705	7598
85	715	7600
86	721	7572
87	730	7571
88	743	7605
89	750	7587
90	765	7646
91	771	7617
92	777	7584
93	789	7614
94	806	7679
95	819	7713
96	828	7716
97	836	7702
98	845	7694
99	852	7668
100	865	7707
101	872	7678
102	879	7659
103	889	7662
104	900	7679
105	907	7655
106	917	7658
107	926	7653
108	937	7659
109	944	7643
110	951	7624
111	959	7607
112	965	7578
113	970	7546
114	977	7523
115	983	7497
116	990	7474
117	999	7470
118	1008	7466
119	1017	7458
120	1023	7437
121	1029	7411
122	1037	7397
123	1050	7418
124	1058	7407
125	1064	7386
126	1073	7378
127	1081	7369
128	1089	7354
129	1095	7331
130	1102	7311
131	1108	7291
132	1117	7284
133	1128	7290
134	1137	7287
135	1144	7271
136	1151	7255
137	1157	7230
138	1163	7206
139	1169	7184
140	1175	7162
141	1182	7147
142	1188	7122
143	1195	7106
144	1201	7086
145	1207	7061
146	1215	7053
147	1224	7046
148	1231	7034
149	1244	7052
150	1253	7049
151	1261	7038
152	1269	7026
153	1277	7017
154	1284	7002
155	1291	6988
156	1298	6973
157	1306	6960
158	1311	6938
159	1318	6920
160	1324	6899
161	1330	6884
162	1337	6868
163	1343	6848
164	1351	6840
165	1359	6827
166	1366	6814
167	1376	6814
168	1382	6798
169	1389	6784
170	1395	6765
171	1402	6751
172	1411	6748
173	1417	6731
174	1424	6713
175	1432	6708
176	1442	6707
177	1449	6694
178	1457	6684
179	1464	6669
180	1476	6682
181	1487	6685
182	1497	6685
183	1504	6673
184	1516	6682
185	1524	6671
186	1539	6693
187	1548	6687
188	1556	6677
189	1563	6664
190	1571	6657
191	1580	6650
192	1586	6634
193	1594	6623
194	1604	6622
195	1612	6613
196	1619	6601
197	1626	6587
198	1632	6570
199	1642	6569
200	1653	6572
201	1661	6564
202	1669	6553
203	1677	6546
204	1684	6532
205	1692	6524
206	1700	6516
207	1710	6511
208	1717	6501
209	1724	6487
210	1731	6473
211	1737	6459
212	1743	6442
213	1750	6430
214	1757	6418
215	1768	6417
216	1775	6407
217	1781	6390
218	1788	6378
219	1796	6370
220	1803	6356
221	1809	6341
222	1816	6328
223	1822	6315
224	1830	6305
225	1836	6291
226	1843	6276
227	1850	6264
228	1856	6250
229	1865	6245
230	1871	6230
231	1877	6214
232	1883	6201
233	1889	6185
234	1895	6170
235	1903	6160
236	1910	6149
237	1916	6137
238	1924	6127
239	1930	6114
240	1937	6101
241	1945	6093
242	1952	6082
243	1969	6101
244	1982	6109
245	1990	6101
246	1996	6087
247	2003	6075
248	2010	6062
249	2017	6052
250	2024	6040
251	2030	6027
252	2037	6016
253	2045	6007
254	2052	5997
255	2059	5985
256	2067	5976
257	2073	5964
258	2080	5952
259	2090	5948
260	2112	5982
261	2119	5971
262	2130	5970
263	2137	5960
264	2147	5956
265	2157	5954
266	2166	5947
267	2179	5953
268	2189	5950
269	2197	5941
270	2205	5932
271	2211	5920
272	2219	5909
273	2225	5897
274	2231	5883
275	2240	5877
276	2246	5862
277	2253	5852
278	2271	5870
279	2279	5861
280	2288	5856
281	2295	5845
282	2303	5835
283	2310	5824
284	2318	5817
285	2328	5814
286	2339	5812
287	2347	5802
288	2354	5793
289	2361	5780
290	2366	5766
291	2374	5757
292	2382	5749
293	2389	5739
294	2396	5726
295	2405	5720
296	2411	5708
297	2417	5695
298	2424	5685
299	2435	5681
300	2443	5673
301	2453	5670
302	2462	5663
303	2468	5652
304	2486	5665
305	2491	5651
306	2499	5642
307	2508	5636
308	2515	5625
309	2524	5620
310	2533	5613
311	2541	5604
312	2551	5600
