iter	RMSE
0	1.540979481
1	1.501564628
2	1.449459939
3	1.412881255
4	1.370954668
5	1.331688689
6	1.294201569
7	1.265831023
8	1.23430788
9	1.207050721
10	1.182412305
11	1.159723202
12	1.138008475
13	1.11960239
14	1.102909561
15	1.087588635
16	1.07103386
17	1.059067583
18	1.041827732
19	1.032273283
20	1.022000173
21	1.010978314
22	1.004298725
23	0.9973799123
24	0.9889570917
25	0.9832032296
26	0.9728428633
27	0.9676959876
28	0.9516979699
29	0.9414641672
30	0.9328029321
31	0.9179129271
32	0.9142611396
33	0.9083418005
34	0.8970703064
35	0.8936107805
36	0.888522448
37	0.8854908519
38	0.87737672
39	0.86462058
40	0.8543888479
41	0.8470799165
42	0.8371407602
43	0.8350010718
44	0.8283722574
45	0.8262630275
46	0.8235551985
47	0.8219700873
48	0.8205757063
49	0.8136764904
50	0.8107972786
51	0.8006672311
52	0.7967455998
53	0.7953596866
54	0.7877636814
55	0.7865688718
56	0.785030821
57	0.7819079339
58	0.7782155615
59	0.7751775971
60	0.7677202767
61	0.7665421302
62	0.7629405963
63	0.7585486329
64	0.7551893632
65	0.7529327145
66	0.7523002613
67	0.7514518969
68	0.7412048856
69	0.7376821024
70	0.7297168653
71	0.7246878692
72	0.7154927381
73	0.7147946103
74	0.7074472964
75	0.7054597246
76	0.7047278944
77	0.696067934
78	0.6879504758
79	0.6840358526
80	0.6830378815
81	0.6809176554
82	0.674081858
83	0.6690386838
84	0.662413807
85	0.6552515395
86	0.6544611801
87	0.6506463634
88	0.6495181389
89	0.6461915101
90	0.6402943002
91	0.6394611317
92	0.6336339678
93	0.6333178752
94	0.6325230332
95	0.6309483573
96	0.6304034507
97	0.6267336771
98	0.6236534296
99	0.6225487292
100	0.6192292325
101	0.6175810108
102	0.6112218983
103	0.6059362855
104	0.6013931674
105	0.5985184638
106	0.5961621812
107	0.5918370787
108	0.5891057564
109	0.5883023463
110	0.5867580707
111	0.5830801352
112	0.5780211338
113	0.5772262319
114	0.5766379579
115	0.5725669633
116	0.5684393585
117	0.5679086962
118	0.5638637667
119	0.5632703762
120	0.5625216519
121	0.5595193332
122	0.5582541383
123	0.5570585973
124	0.551813424
125	0.5496561097
126	0.5485423915
127	0.5481572053
128	0.5434985314
129	0.5418882336
130	0.5395043451
131	0.5385752532
132	0.5353152023
133	0.5326144117
134	0.5301744752
135	0.5269964948
136	0.5257331665
137	0.5242895837
138	0.5197855286
139	0.5195377227
140	0.5185611246
141	0.5153184585
142	0.5113288017
143	0.5107302646
144	0.5066932813
145	0.5037017818
146	0.5010917808
147	0.4982697922
148	0.4956826906
149	0.4936433443
150	0.4933688574
151	0.4919492811
152	0.4903378006
153	0.4892215497
154	0.4866147278
155	0.4842437237
156	0.4812412841
157	0.4775794218
158	0.475570265
159	0.4731871295
160	0.4717780223
161	0.4697321928
162	0.4677899855
163	0.4662566444
164	0.4647125585
165	0.4609080738
166	0.4592804041
167	0.4577467602
168	0.4569476003
169	0.4545191274
170	0.4537432637
171	0.4531491079
172	0.449748761
173	0.4479101725
174	0.4470024447
175	0.4459143228
176	0.4429025828
177	0.4421704683
178	0.4411814035
179	0.4398055569
180	0.439157679
181	0.4356845134
182	0.4353756547
183	0.4350957074
184	0.4332618914
185	0.4329279735
186	0.4298579825
187	0.42822263
188	0.4273601543
189	0.4246915068
190	0.4227558003
191	0.4206521664
192	0.4189740065
193	0.4161775054
194	0.4134250557
195	0.4108756929
196	0.4096822259
197	0.4089619527
198	0.4070830072
199	0.4067546593
200	0.4044949992
201	0.4038653902
202	0.401882189
203	0.401572406
204	0.4004581343
205	0.4001124946
206	0.39929883
207	0.3986352375
208	0.3977523814
209	0.3965367817
210	0.3960559932
211	0.3941817745
212	0.3916012812
213	0.3903217381
214	0.389281966
215	0.3877022825
216	0.3859025053
217	0.3853616899
218	0.3848309374
219	0.3845974131
220	0.3829967558
221	0.3809506501
222	0.3787965763
223	0.3772086549
224	0.3753152478
225	0.3746778546
226	0.3733075562
227	0.3727303379
228	0.3708978983
229	0.3694473301
230	0.3690309277
231	0.3678004332
232	0.3669193277
233	0.3654827419
234	0.3638346569
235	0.3633134764
236	0.3615325491
237	0.3611924715
238	0.3607657587
239	0.3598818361
240	0.359550457
241	0.3582450235
242	0.3574342108
243	0.3559246437
244	0.3554838967
245	0.3541160898
246	0.3537185179
247	0.3520667952
248	0.3517207916
249	0.3513471021
250	0.3496899247
251	0.3482899588
252	0.3470019882
253	0.3459159598
254	0.3449489503
255	0.343550869
256	0.3432236084
257	0.3428651594
258	0.3426680066
259	0.342428531
260	0.3411196738
261	0.3402068438
262	0.338951687
263	0.3378338589
264	0.3372610745
265	0.3363203879
266	0.3350172688
267	0.3342673351
268	0.3326833451
269	0.3318370974
270	0.3305414362
271	0.3302371173
272	0.3290606612
273	0.3280611515
274	0.3273369094
275	0.3269637941
276	0.3267094316
277	0.3253108099
278	0.3247531356
279	0.3245737217
280	0.3238137346
281	0.3225402132
282	0.3211902991
283	0.3208480531
284	0.3195358248
285	0.3182871512
286	0.3172052354
287	0.31666752
288	0.3164018861
289	0.3159638432
290	0.3156847355
291	0.3149236171
292	0.3140467119
293	0.3137382188
294	0.3126024499
295	0.3114982114
296	0.3104016964
297	0.309491383
298	0.3088206141
299	0.3080222154
300	0.3072857264
301	0.3068631228
302	0.3062381405
303	0.3053224834
304	0.3050347373
305	0.3037989006
306	0.3026404901
307	0.3017096593
308	0.3006776485
309	0.3004221426
310	0.2994485012
311	0.2984319476
312	0.2971229594
313	0.2959992825
314	0.2949481855
315	0.2946715307
316	0.293703279
317	0.2934795647
318	0.293180605
319	0.2928958944
320	0.2926616184
321	0.2924446239
322	0.2915716299
323	0.2909967747
324	0.2906457396
325	0.2899969631
326	0.2897880565
327	0.288941187
328	0.2886365869
329	0.2884686287
330	0.2879514703
331	0.2870588718
332	0.2861622834
333	0.2853954825
334	0.2845470668
335	0.2838352702
336	0.2829934813
337	0.2821247067
338	0.2812653039
339	0.2802434807
340	0.2796116625
341	0.2786468131
342	0.2783623824
343	0.2772131497
344	0.2768544238
345	0.2761333122
346	0.2750833222
347	0.2741470375
348	0.273804908
349	0.2731901294
350	0.2729322955
351	0.2724499509
352	0.2716181873
353	0.2713508057
354	0.2710926511
355	0.2708069709
356	0.2700212835
357	0.2692557198
358	0.2689329502
359	0.2682022713
360	0.2671335316
361	0.266242366
362	0.265982653
363	0.2657975406
364	0.2649943729
365	0.2641643748
366	0.2632828228
367	0.2624845236
368	0.2617837114
369	0.2614514309
370	0.2611784656
371	0.2603975823
372	0.2601068338
373	0.2594471112
374	0.2592464008
375	0.2590132557
376	0.2582000695
377	0.2579047601
378	0.2573219744
379	0.2566902548
380	0.256298956
381	0.2560656067
382	0.2554902624
383	0.2547831717
384	0.2539190853
385	0.2533151512
386	0.2530723389
387	0.2526956886
388	0.2524989762
389	0.2521700693
390	0.2515504587
391	0.25088993
392	0.2502579082
393	0.2494758165
394	0.2490437617
395	0.2489107464
396	0.2486210117
397	0.2479824885
398	0.2477831811
399	0.2470321582
400	0.2464577107
401	0.2457364911
402	0.2450252105
403	0.244386631
404	0.2436847658
405	0.2431143561
406	0.2423316588
407	0.2418405702
408	0.2412058003
409	0.2405527148
410	0.2401210306
411	0.2394324092
412	0.2388657808
413	0.2381172922
414	0.2372681841
415	0.2368795978
416	0.236342134
417	0.2355939739
418	0.2351689738
419	0.2349490481
420	0.2343945948
421	0.2338021808
422	0.2331600851
423	0.2329052546
424	0.232187274
425	0.2315220547
426	0.2307906483
427	0.2301527728
428	0.2295106133
429	0.2293429342
430	0.2287424179
431	0.2281903148
432	0.2278896452
433	0.2272046447
434	0.2269484061
435	0.2263860118
436	0.2257079633
437	0.225130223
438	0.2248867294
439	0.2244153429
440	0.2239403176
441	0.2233548139
442	0.2229223017
443	0.2226842641
444	0.2224585111
445	0.2221040813
446	0.2218749197
447	0.2216779223
448	0.2211233961
449	0.2207900769
450	0.220675784
451	0.2204675824
452	0.2199566911
453	0.2195233742
454	0.2189487765
455	0.2183730576
456	0.2179060252
457	0.2173663623
