ID,electricity_consumption
552,207.6
553,209.7
554,206.7
555,212.1
556,263.7
557,253.8
558,240.6
559,470.1
560,261.3
561,248.1
562,329.4
563,274.8
564,221.4
565,322.5
566,279.0
567,275.1
568,331.8
569,410.7
570,275.1
571,264.9
572,396.6
573,247.8
574,333.9
575,419.7
576,277.8
577,326.7
578,353.1
579,285.0
580,222.3
581,209.1
582,225.3
583,213.0
584,204.9
585,211.8
586,220.5
587,213.9
588,210.9
589,217.8
590,214.8
591,206.7
592,206.4
593,210.0
594,206.7
595,251.7
596,224.7
597,236.7
598,242.4
599,286.8
600,362.4
601,370.5
602,220.5
603,218.1
604,214.8
605,224.1
606,225.3
607,269.4
608,217.2
609,239.4
610,240.9
611,226.2
612,270.0
613,319.5
614,281.1
615,309.0
616,319.8
617,333.6
618,250.2
619,385.2
620,287.1
621,255.6
622,265.2
623,251.1
624,306.0
625,251.7
626,219.9
627,237.9
628,208.8
629,212.7
630,205.5
631,202.8
632,222.9
633,209.1
634,207.9
635,213.9
636,227.4
637,282.9
638,275.4
639,372.6
640,294.3
641,227.1
642,216.9
643,255.9
644,249.3
645,323.7
646,357.3
647,332.4
648,235.8
649,272.1
650,209.7
651,213.6
652,211.2
653,215.7
654,215.4
655,204.3
656,294.0
657,221.1
658,204.6
659,219.6
660,221.1
661,221.7
662,208.2
663,231.6
664,205.2
665,216.9
666,216.0
667,208.2
668,213.3
669,214.5
670,217.5
671,227.4
672,209.7
673,216.6
674,209.7
675,210.0
676,216.6
677,212.4
678,206.1
679,203.7
680,208.8
681,234.6
682,319.8
683,274.8
684,214.5
685,215.7
686,225.6
687,219.6
688,210.9
689,213.9
690,259.2
691,215.4
692,223.2
693,213.3
694,223.5
695,220.2
696,208.5
697,207.3
698,218.7
699,216.0
700,205.8
701,211.2
702,214.2
703,203.4
704,212.7
705,207.6
706,202.8
707,203.1
708,200.7
709,201.6
710,203.4
711,203.4
712,203.4
713,205.8
714,196.5
715,199.5
716,212.7
717,203.1
718,347.1
719,288.3
720,276.0
721,267.6
722,234.6
723,246.6
724,210.3
725,220.2
726,304.8
727,267.3
728,320.1
729,277.8
730,274.5
731,224.1
732,224.7
733,228.6
734,219.6
735,204.0
736,219.9
737,212.4
738,212.7
739,239.1
740,232.5
741,211.2
742,228.3
743,235.2
1296,496.8
1297,588.3
1298,548.7
1299,480.0
1300,343.5
1301,345.6
1302,337.2
1303,335.7
1304,336.3
1305,294.9
1306,300.6
1307,229.8
1308,259.2
1309,216.0
1310,221.4
1311,201.9
1312,209.1
1313,219.3
1314,273.3
1315,246.3
1316,654.3
1317,627.9
1318,623.7
1319,617.4
1320,588.9
1321,631.5
1322,734.7
1323,702.6
1324,757.5
1325,716.7
1326,705.0
1327,696.0
1328,699.6
1329,713.1
1330,630.6
1331,657.3
1332,493.8
1333,277.8
1334,256.8
1335,457.8
1336,287.1
1337,358.5
1338,285.6
1339,313.5
1340,280.5
1341,315.9
1342,273.0
1343,263.4
1344,264.3
1345,242.1
1346,302.7
1347,320.7
1348,714.9
1349,735.9
1350,673.2
1351,691.2
1352,673.5
1353,676.8
1354,681.0
1355,602.4
1356,707.4
1357,686.7
1358,668.1
1359,669.3
1360,691.2
1361,678.6
1362,710.1
1363,677.7
1364,725.1
1365,678.0
1366,696.6
1367,682.8
1368,730.8
1369,715.2
1370,696.9
1371,694.5
1372,690.0
1373,689.1
1374,672.6
1375,666.9
1376,689.4
1377,607.8
1378,639.0
1379,629.4
1380,340.8
1381,354.9
1382,357.0
1383,337.5
1384,352.8
1385,271.2
1386,288.6
1387,360.0
1388,362.1
1389,350.7
1390,663.9
1391,694.5
1392,446.4
1393,424.8
1394,692.7
1395,324.0
1396,402.3
1397,664.8
1398,392.4
1399,379.8
1400,253.5
1401,230.4
1402,260.7
1403,234.6
1404,266.1
1405,246.3
1406,255.3
1407,264.6
1408,276.6
1409,292.2
1410,279.9
1411,290.7
1412,222.6
1413,283.5
1414,275.4
1415,243.0
1416,259.2
1417,341.4
1418,373.5
1419,341.4
1420,378.3
1421,227.4
1422,218.1
1423,223.8
1424,239.7
1425,238.2
1426,209.1
1427,260.1
1428,237.6
1429,225.0
1430,221.7
1431,233.7
1432,201.6
1433,216.6
1434,225.6
1435,238.2
1436,312.3
1437,225.6
1438,240.9
1439,242.4
1440,233.4
1441,215.1
1442,221.7
1443,281.4
1444,230.7
1445,259.8
1446,219.9
1447,354.9
1448,331.2
1449,314.4
1450,223.5
1451,209.7
1452,199.5
1453,199.8
1454,215.1
1455,223.2
1456,212.7
1457,241.2
1458,254.7
1459,218.1
1460,237.6
1461,270.0
1462,281.1
1463,303.0
1464,209.7
1465,217.8
1466,225.9
1467,229.8
1468,207.0
1469,238.2
1470,240.6
1471,211.8
1472,218.7
1473,215.1
1474,209.7
1475,210.0
1476,209.1
1477,224.7
1478,208.2
1479,225.9
1480,282.0
1481,222.0
1482,303.3
1483,315.9
1484,232.8
1485,334.5
1486,284.4
1487,324.6
2040,255.9
2041,245.7
2042,246.3
2043,223.8
2044,218.1
2045,213.0
2046,197.7
2047,218.7
2048,203.4
2049,261.3
2050,226.8
2051,227.7
2052,288.6
2053,281.7
2054,242.1
2055,212.1
2056,220.5
2057,260.4
2058,211.5
2059,226.5
2060,228.6
2061,242.4
2062,353.7
2063,361.8
2064,241.2
2065,311.1
2066,302.1
2067,336.3
2068,254.7
2069,316.8
2070,216.6
2071,297.6
2072,289.5
2073,347.4
2074,344.7
2075,308.1
2076,337.8
2077,225.0
2078,315.3
2079,328.2
2080,225.0
2081,237.6
2082,342.3
2083,324.0
2084,370.8
2085,391.8
2086,347.1
2087,342.6
2088,326.1
2089,293.1
2090,320.1
2091,396.9
2092,412.5
2093,320.7
2094,317.4
2095,345.0
2096,330.9
2097,342.6
2098,334.5
2099,428.7
2100,365.7
2101,387.9
2102,364.5
2103,324.0
2104,294.9
2105,252.3
2106,384.3
2107,272.4
2108,298.2
2109,252.9
2110,252.6
2111,312.9
2112,363.0
2113,393.9
2114,289.8
2115,402.3
2116,343.8
2117,312.9
2118,328.2
2119,399.9
2120,335.7
2121,369.9
2122,440.7
2123,356.7
2124,416.1
2125,355.2
2126,402.0
2127,288.6
2128,342.6
2129,339.9
2130,331.2
2131,275.7
2132,418.8
2133,352.8
2134,413.7
2135,433.2
2136,361.2
2137,319.5
2138,329.4
2139,367.2
2140,419.7
2141,366.3
2142,407.7
2143,374.1
2144,413.1
2145,411.0
2146,382.8
2147,455.7
2148,419.7
2149,477.9
2150,436.8
2151,429.3
2152,411.0
2153,450.6
2154,446.4
2155,391.8
2156,395.7
2157,378.6
2158,414.6
2159,453.6
2160,429.3
2161,374.4
2162,334.8
2163,330.6
2164,280.2
2165,276.6
2166,292.5
2167,311.7
2168,328.8
2169,311.7
2170,331.5
2171,314.7
2172,304.2
2173,235.5
2174,207.0
2175,319.5
2176,369.9
2177,367.5
2178,364.5
2179,384.3
2180,387.6
2181,386.4
2182,383.7
2183,378.3
2184,373.2
2185,385.5
2186,351.9
2187,332.7
2188,349.2
2189,339.0
2190,370.2
2191,324.3
2192,366.0
2193,326.1
2194,343.5
2195,373.5
2196,321.9
2197,321.3
2198,259.2
2199,331.2
2200,249.9
2201,270.3
2202,244.2
2203,355.2
2204,483.6
2205,349.8
2206,324.9
2207,345.0
2760,288.3
2761,293.4
2762,281.7
2763,274.5
2764,351.0
2765,299.4
2766,342.0
2767,305.4
2768,357.9
2769,371.1
2770,354.9
2771,318.3
2772,311.4
2773,327.6
2774,331.5
2775,362.7
2776,323.7
2777,327.0
2778,352.8
2779,350.1
2780,241.5
2781,227.1
2782,221.7
2783,316.2
2784,332.4
2785,331.5
2786,330.6
2787,347.4
2788,314.1
2789,315.6
2790,330.9
2791,299.1
2792,328.8
2793,252.6
2794,217.2
2795,247.2
2796,251.4
2797,233.7
2798,232.2
2799,231.6
2800,348.6
2801,333.3
2802,327.0
2803,281.1
2804,326.4
2805,297.9
2806,317.1
2807,303.0
2808,278.4
2809,275.7
2810,280.5
2811,290.1
2812,287.1
2813,291.0
2814,297.6
2815,329.4
2816,345.3
2817,327.3
2818,263.7
2819,338.7
2820,306.6
2821,318.3
2822,340.8
2823,321.3
2824,333.9
2825,336.0
2826,383.7
2827,339.0
2828,318.9
2829,307.5
2830,306.6
2831,320.4
2832,324.9
2833,368.4
2834,361.2
2835,318.9
2836,327.3
2837,372.9
2838,363.9
2839,340.5
2840,387.3
2841,357.3
2842,346.5
2843,317.4
2844,374.1
2845,355.8
2846,339.0
2847,388.2
2848,307.2
2849,327.9
2850,255.9
2851,280.5
2852,296.7
2853,338.7
2854,361.8
2855,417.9
2856,331.5
2857,373.2
2858,373.2
2859,373.8
2860,351.0
2861,403.8
2862,346.8
2863,355.8
2864,388.5
2865,334.8
2866,303.3
2867,336.6
2868,324.9
2869,221.1
2870,318.0
2871,295.5
2872,212.7
2873,291.6
2874,219.3
2875,206.4
2876,252.6
2877,205.2
2878,261.3
2879,222.3
2880,224.4
2881,239.7
2882,235.5
2883,218.7
2884,214.2
2885,215.7
2886,243.0
2887,213.6
2888,225.3
2889,237.0
2890,250.5
2891,225.0
2892,229.5
2893,232.8
2894,228.0
2895,224.1
2896,260.1
2897,233.1
2898,223.5
2899,226.8
2900,232.5
2901,233.4
2902,231.6
2903,288.9
2904,325.8
2905,274.8
2906,292.8
2907,263.1
2908,264.0
2909,289.5
2910,291.0
2911,284.7
2912,341.7
2913,248.1
2914,251.7
2915,250.5
2916,228.6
2917,221.4
2918,219.9
2919,240.9
2920,243.3
2921,244.5
2922,277.2
2923,247.8
2924,257.1
2925,250.5
2926,243.3
2927,253.2
2928,246.3
2929,250.2
2930,243.0
2931,231.6
2932,244.8
2933,248.7
2934,255.9
2935,249.9
2936,246.6
2937,254.1
2938,250.2
2939,247.5
2940,236.4
2941,247.5
2942,241.5
2943,237.6
2944,243.0
2945,227.7
2946,237.9
2947,249.0
2948,207.9
2949,239.4
2950,216.6
2951,309.3
3504,297.9
3505,297.6
3506,295.8
3507,289.2
3508,346.2
3509,253.8
3510,363.6
3511,381.3
3512,297.0
3513,353.1
3514,314.4
3515,371.7
3516,360.6
3517,354.3
3518,316.5
3519,301.5
3520,337.2
3521,330.6
3522,312.3
3523,339.0
3524,272.4
3525,340.8
3526,310.2
3527,315.9
3528,331.5
3529,370.5
3530,324.3
3531,332.4
3532,282.0
3533,324.3
3534,378.3
3535,343.2
3536,365.1
3537,339.9
3538,360.9
3539,339.9
3540,271.8
3541,273.0
3542,318.6
3543,267.9
3544,285.3
3545,337.2
3546,331.5
3547,289.8
3548,312.9
3549,265.8
3550,277.5
3551,272.7
3552,294.3
3553,385.5
3554,333.9
3555,324.3
3556,350.4
3557,342.0
3558,332.7
3559,342.9
3560,361.8
3561,359.4
3562,367.2
3563,345.0
3564,336.6
3565,368.4
3566,330.3
3567,296.1
3568,336.0
3569,306.9
3570,334.2
3571,324.0
3572,318.9
3573,303.9
3574,321.6
3575,286.8
3576,318.6
3577,347.4
3578,351.9
3579,334.5
3580,349.2
3581,314.4
3582,330.0
3583,340.8
3584,334.8
3585,354.9
3586,321.0
3587,331.8
3588,326.7
3589,337.5
3590,291.9
3591,211.2
3592,226.8
3593,245.4
3594,279.6
3595,267.9
3596,294.0
3597,321.6
3598,226.8
3599,260.4
3600,239.4
3601,222.9
3602,220.5
3603,223.2
3604,223.8
3605,228.3
3606,238.2
3607,228.9
3608,251.4
3609,226.2
3610,288.0
3611,310.2
3612,269.1
3613,321.3
3614,314.1
3615,306.3
3616,258.3
3617,315.0
3618,283.5
3619,254.1
3620,270.0
3621,245.7
3622,234.0
3623,230.1
3624,249.3
3625,251.4
3626,234.0
3627,245.4
3628,230.1
3629,271.5
3630,275.4
3631,244.5
3632,276.0
3633,241.2
3634,290.7
3635,272.7
3636,240.6
3637,234.0
3638,250.5
3639,221.1
3640,211.5
3641,217.8
3642,239.7
3643,237.3
3644,300.9
3645,271.2
3646,247.5
3647,236.7
3648,239.1
3649,273.9
3650,262.5
3651,277.8
3652,270.6
3653,269.4
3654,306.3
3655,330.3
3656,313.5
3657,317.4
3658,310.8
3659,315.0
3660,312.6
3661,264.6
3662,236.4
3663,222.3
3664,219.9
3665,215.1
3666,241.8
3667,213.3
3668,270.9
3669,278.1
3670,254.1
3671,322.5
4224,265.8
4225,229.5
4226,222.0
4227,283.2
4228,241.5
4229,271.2
4230,283.5
4231,262.5
4232,285.6
4233,263.7
4234,297.0
4235,250.2
4236,257.4
4237,242.1
4238,283.5
4239,225.6
4240,228.9
4241,261.3
4242,247.5
4243,235.8
4244,262.2
4245,318.0
4246,300.9
4247,249.3
4248,367.2
4249,242.4
4250,265.5
4251,241.5
4252,303.9
4253,289.8
4254,301.8
4255,316.2
4256,292.8
4257,343.5
4258,274.2
4259,257.4
4260,221.4
4261,237.9
4262,286.8
4263,261.6
4264,259.5
4265,282.0
4266,260.7
4267,261.3
4268,275.4
4269,252.3
4270,261.6
4271,351.6
4272,309.6
4273,334.5
4274,255.3
4275,251.4
4276,321.0
4277,314.1
4278,233.1
4279,338.7
4280,348.3
4281,302.4
4282,280.8
4283,317.4
4284,321.9
4285,344.7
4286,339.0
4287,370.5
4288,237.6
4289,236.1
4290,361.8
4291,336.3
4292,333.3
4293,275.4
4294,280.5
4295,266.1
4296,322.5
4297,319.8
4298,308.7
4299,384.9
4300,357.3
4301,318.0
4302,312.3
4303,359.4
4304,343.2
4305,381.3
4306,369.0
4307,358.2
4308,325.2
4309,372.3
4310,344.4
4311,362.4
4312,346.8
4313,372.0
4314,311.7
4315,324.0
4316,367.8
4317,319.8
4318,301.2
4319,322.8
4320,383.4
4321,367.8
4322,367.5
4323,329.4
4324,351.6
4325,350.7
4326,360.9
4327,339.3
4328,332.1
4329,371.4
4330,329.7
4331,296.1
4332,330.9
4333,322.5
4334,359.1
4335,343.2
4336,334.5
4337,347.4
4338,349.5
4339,359.1
4340,377.1
4341,342.3
4342,381.6
4343,418.8
4344,355.8
4345,354.0
4346,354.6
4347,357.9
4348,339.0
4349,371.7
4350,384.0
4351,375.3
4352,402.6
4353,346.2
4354,353.7
4355,389.1
4356,354.3
4357,386.7
4358,369.3
4359,364.8
4360,406.2
4361,369.0
4362,368.1
4363,392.7
4364,373.8
4365,418.5
4366,296.1
4367,329.7
4368,369.0
4369,354.3
4370,374.1
4371,356.1
4372,330.3
4373,365.4
4374,359.1
4375,376.8
4376,373.5
