Day,Holiday,Type,year,month,day
Sunday,Last day of Hanukkah,Observance,2017,1,1
Sunday,New Year's Day,Restricted Holiday,2017,1,1
Thursday,Guru Govind Singh Jayanti,Restricted Holiday,2017,1,5
Saturday,Pongal,Restricted Holiday,2017,1,14
Saturday,Makar Sankranti,Restricted Holiday,2017,1,14
Thursday,Republic Day,Gazetted Holiday,2017,1,26
Saturday,Chinese New Year,Observance,2017,1,28
Wednesday,Vasant Panchami,Restricted Holiday,2017,2,1
Friday,Guru Ravidas Jayanti,Restricted Holiday,2017,2,10
Tuesday,Valentine's Day,Observance,2017,2,14
Sunday,Shivaji Jayanti,Restricted Holiday,2017,2,19
Tuesday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday,2017,2,21
Friday,Maha Shivaratri/Shivaratri,Gazetted Holiday,2017,2,24
Sunday,Holika Dahana,Restricted Holiday,2017,3,12
Monday,Holi,Restricted Holiday,2017,3,13
Monday,March Equinox,Season,2017,3,20
Tuesday,Chaitra Sukhladi,Restricted Holiday,2017,3,28
Tuesday,Rama Navami,Gazetted Holiday,2017,4,4
Sunday,Mahavir Jayanti,Gazetted Holiday,2017,4,9
Tuesday,First day of Passover,Observance,2017,4,11
Tuesday,Hazarat Ali's Birthday,Restricted Holiday,2017,4,11
Thursday,Maundy Thursday,"Observance, Christian",2017,4,13
Friday,Good Friday,Gazetted Holiday,2017,4,14
Friday,Vaisakhi,Restricted Holiday,2017,4,14
Friday,Ambedkar Jayanti,Observance,2017,4,14
Saturday,Mesadi/Vaisakhadi,Restricted Holiday,2017,4,15
Sunday,Easter Day,Restricted Holiday,2017,4,16
Monday,May Day,Observance,2017,5,1
Tuesday,Birthday of Ravindranath,Restricted Holiday,2017,5,9
Wednesday,Buddha Purnima/Vesak,Gazetted Holiday,2017,5,10
Sunday,Mother's Day,Observance,2017,5,14
Sunday,Father's Day,Observance,2017,6,18
Wednesday,June Solstice,Season,2017,6,21
Friday,Jamat Ul-Vida,Restricted Holiday,2017,6,23
Sunday,Rath Yatra,Restricted Holiday,2017,6,25
Monday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday",2017,6,26
Sunday,Guru Purnima,Observance,2017,7,9
Sunday,Friendship Day,Observance,2017,8,6
Monday,Raksha Bandhan (Rakhi),Restricted Holiday,2017,8,7
Tuesday,Independence Day,Gazetted Holiday,2017,8,15
Tuesday,Janmashtami,Gazetted Holiday,2017,8,15
Thursday,Parsi New Year,Restricted Holiday,2017,8,17
Friday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday,2017,8,25
Saturday,Bakr Id/Eid ul-Adha,Gazetted Holiday,2017,9,2
Monday,Onam,Restricted Holiday,2017,9,4
Saturday,September Equinox,Season,2017,9,23
Wednesday,Maha Saptami,Restricted Holiday,2017,9,27
Thursday,Maha Ashtami,Restricted Holiday,2017,9,28
Friday,Maha Navami,Restricted Holiday,2017,9,29
Saturday,Dussehra,Gazetted Holiday,2017,9,30
Sunday,Muharram/Ashura,Gazetted Holiday,2017,10,1
Monday,Mahatma Gandhi Jayanti,Gazetted Holiday,2017,10,2
Thursday,Maharishi Valmiki Jayanti,Restricted Holiday,2017,10,5
Sunday,Karaka Chaturthi (Karva Chauth),Restricted Holiday,2017,10,8
Wednesday,Naraka Chaturdasi,Restricted Holiday,2017,10,18
Thursday,Diwali/Deepavali,Gazetted Holiday,2017,10,19
Friday,Govardhan Puja,Restricted Holiday,2017,10,20
Saturday,Bhai Duj,Restricted Holiday,2017,10,21
Thursday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday,2017,10,26
Tuesday,Halloween,Observance,2017,10,31
Saturday,Guru Nanak Jayanti,Gazetted Holiday,2017,11,4
Friday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday,2017,11,24
Saturday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday,2017,12,2
Wednesday,First Day of Hanukkah,Observance,2017,12,13
Wednesday,Last day of Hanukkah,Observance,2017,12,20
Thursday,December Solstice,Season,2017,12,21
Sunday,Christmas Eve,Restricted Holiday,2017,12,24
Monday,Christmas,Gazetted Holiday,2017,12,25
Monday,Guru Govind Singh Jayanti,Observance,2017,12,25
Sunday,New Year's Eve,Observance,2017,12,31
Monday,New Year's Day,Restricted Holiday,2018,1,1
Sunday,Pongal,Restricted Holiday,2018,1,14
Sunday,Makar Sankranti,Restricted Holiday,2018,1,14
Monday,Vasant Panchami,Restricted Holiday,2018,1,22
Friday,Republic Day,Gazetted Holiday,2018,1,26
Wednesday,Guru Ravidas Jayanti,Restricted Holiday,2018,1,31
Saturday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday,2018,2,10
Wednesday,Maha Shivaratri/Shivaratri,Gazetted Holiday,2018,2,14
Wednesday,Valentine's Day,Observance,2018,2,14
Friday,Chinese New Year,Observance,2018,2,16
Monday,Shivaji Jayanti,Restricted Holiday,2018,2,19
Thursday,Holika Dahana,Restricted Holiday,2018,3,1
Friday,Holi,Restricted Holiday,2018,3,2
Sunday,Chaitra Sukhladi,Restricted Holiday,2018,3,18
Tuesday,March Equinox,Season,2018,3,20
Sunday,Rama Navami,Restricted Holiday,2018,3,25
Thursday,Maundy Thursday,"Observance, Christian",2018,3,29
Thursday,Mahavir Jayanti,Gazetted Holiday,2018,3,29
Friday,Good Friday,Gazetted Holiday,2018,3,30
Saturday,First day of Passover,Observance,2018,3,31
Sunday,Hazarat Ali's Birthday,Restricted Holiday,2018,4,1
Sunday,Easter Day,Restricted Holiday,2018,4,1
Saturday,Vaisakhi,Restricted Holiday,2018,4,14
Saturday,Ambedkar Jayanti,Gazetted Holiday,2018,4,14
Sunday,Mesadi/Vaisakhadi,Restricted Holiday,2018,4,15
Monday,Buddha Purnima/Vesak,Gazetted Holiday,2018,4,30
Tuesday,May Day,Observance,2018,5,1
Wednesday,Birthday of Ravindranath,Restricted Holiday,2018,5,9
Sunday,Mother's Day,Observance,2018,5,13
Friday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday",2018,6,15
Friday,Jamat Ul-Vida,Restricted Holiday,2018,6,15
Saturday,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday,2018,6,16
Sunday,Father's Day,Observance,2018,6,17
Thursday,June Solstice,Season,2018,6,21
