application_date,segment,case_count,day,year,month,Holiday,Type
2017-04-01,1,40.0,1,2017,4,,
2017-04-03,1,5.0,3,2017,4,,
2017-04-04,1,4.0,4,2017,4,Rama Navami,Gazetted Holiday
2017-04-05,1,113.0,5,2017,4,,
2017-04-07,1,76.0,7,2017,4,,
2017-04-12,1,123.0,12,2017,4,,
2017-04-13,1,81.0,13,2017,4,Maundy Thursday,"Observance, Christian"
2017-04-14,1,117.0,14,2017,4,Good Friday,Gazetted Holiday
2017-04-14,1,117.0,14,2017,4,Vaisakhi,Restricted Holiday
2017-04-14,1,117.0,14,2017,4,Ambedkar Jayanti,Observance
2017-04-15,1,127.0,15,2017,4,Mesadi/Vaisakhadi,Restricted Holiday
2017-04-16,1,42.0,16,2017,4,Easter Day,Restricted Holiday
2017-04-17,1,145.0,17,2017,4,,
2017-04-18,1,100.0,18,2017,4,,
2017-04-19,1,140.0,19,2017,4,,
2017-04-20,1,81.0,20,2017,4,,
2017-04-21,1,120.0,21,2017,4,,
2017-04-22,1,79.0,22,2017,4,,
2017-04-23,1,41.0,23,2017,4,,
2017-04-24,1,111.0,24,2017,4,,
2017-04-25,1,115.0,25,2017,4,,
2017-04-26,1,124.0,26,2017,4,,
2017-04-27,1,114.0,27,2017,4,,
2017-04-28,1,114.0,28,2017,4,,
2017-04-29,1,127.0,29,2017,4,,
2017-04-30,1,497.0,30,2017,4,,
2017-05-01,1,130.0,1,2017,5,May Day,Observance
2017-05-02,1,17.0,2,2017,5,,
2017-05-03,1,11.0,3,2017,5,,
2017-05-04,1,18.0,4,2017,5,,
2017-05-05,1,188.0,5,2017,5,,
2017-05-07,1,26.0,7,2017,5,,
2017-05-08,1,0.0,8,2017,5,,
2017-05-09,1,1.0,9,2017,5,Birthday of Ravindranath,Restricted Holiday
2017-05-10,1,147.0,10,2017,5,Buddha Purnima/Vesak,Gazetted Holiday
2017-05-11,1,97.0,11,2017,5,,
2017-05-12,1,124.0,12,2017,5,,
2017-05-13,1,88.0,13,2017,5,,
2017-05-14,1,50.0,14,2017,5,Mother's Day,Observance
2017-05-15,1,170.0,15,2017,5,,
2017-05-16,1,132.0,16,2017,5,,
2017-05-17,1,143.0,17,2017,5,,
2017-05-18,1,107.0,18,2017,5,,
2017-05-19,1,98.0,19,2017,5,,
2017-05-20,1,96.0,20,2017,5,,
2017-05-21,1,47.0,21,2017,5,,
2017-05-22,1,137.0,22,2017,5,,
2017-05-23,1,115.0,23,2017,5,,
2017-05-24,1,121.0,24,2017,5,,
2017-05-25,1,99.0,25,2017,5,,
2017-05-26,1,111.0,26,2017,5,,
2017-05-27,1,109.0,27,2017,5,,
2017-05-28,1,66.0,28,2017,5,,
2017-05-29,1,133.0,29,2017,5,,
2017-05-30,1,122.0,30,2017,5,,
2017-05-31,1,488.0,31,2017,5,,
2017-06-01,1,0.0,1,2017,6,,
2017-06-02,1,39.0,2,2017,6,,
2017-06-03,1,40.0,3,2017,6,,
2017-06-04,1,29.0,4,2017,6,,
2017-06-05,1,133.0,5,2017,6,,
2017-06-06,1,18.0,6,2017,6,,
2017-06-07,1,113.0,7,2017,6,,
2017-06-08,1,98.0,8,2017,6,,
2017-06-09,1,157.0,9,2017,6,,
2017-06-10,1,147.0,10,2017,6,,
2017-06-11,1,73.0,11,2017,6,,
2017-06-12,1,177.0,12,2017,6,,
2017-06-13,1,152.0,13,2017,6,,
2017-06-14,1,179.0,14,2017,6,,
2017-06-15,1,157.0,15,2017,6,,
2017-06-16,1,161.0,16,2017,6,,
2017-06-17,1,182.0,17,2017,6,,
2017-06-18,1,92.0,18,2017,6,Father's Day,Observance
2017-06-19,1,209.0,19,2017,6,,
2017-06-20,1,183.0,20,2017,6,,
2017-06-21,1,236.0,21,2017,6,June Solstice,Season
2017-06-22,1,222.0,22,2017,6,,
2017-06-23,1,258.0,23,2017,6,Jamat Ul-Vida,Restricted Holiday
2017-06-24,1,323.0,24,2017,6,,
2017-06-25,1,297.0,25,2017,6,Rath Yatra,Restricted Holiday
2017-06-26,1,147.0,26,2017,6,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
2017-06-27,1,172.0,27,2017,6,,
2017-06-28,1,189.0,28,2017,6,,
2017-06-29,1,187.0,29,2017,6,,
2017-06-30,1,730.0,30,2017,6,,
2017-07-01,1,107.0,1,2017,7,,
2017-07-02,1,0.0,2,2017,7,,
2017-07-05,1,106.0,5,2017,7,,
2017-07-06,1,8.0,6,2017,7,,
2017-07-07,1,40.0,7,2017,7,,
2017-07-10,1,147.0,10,2017,7,,
2017-07-11,1,108.0,11,2017,7,,
2017-07-12,1,108.0,12,2017,7,,
2017-07-13,1,95.0,13,2017,7,,
2017-07-14,1,116.0,14,2017,7,,
2017-07-15,1,86.0,15,2017,7,,
2017-07-16,1,60.0,16,2017,7,,
2017-07-17,1,133.0,17,2017,7,,
2017-07-18,1,124.0,18,2017,7,,
2017-07-19,1,142.0,19,2017,7,,
2017-07-20,1,87.0,20,2017,7,,
2017-07-21,1,107.0,21,2017,7,,
2017-07-22,1,64.0,22,2017,7,,
2017-07-23,1,41.0,23,2017,7,,
2017-07-24,1,77.0,24,2017,7,,
2017-07-25,1,79.0,25,2017,7,,
2017-07-26,1,111.0,26,2017,7,,
2017-07-27,1,75.0,27,2017,7,,
2017-07-28,1,101.0,28,2017,7,,
2017-07-29,1,85.0,29,2017,7,,
2017-07-30,1,75.0,30,2017,7,,
2017-07-31,1,716.0,31,2017,7,,
2017-08-01,1,59.0,1,2017,8,,
2017-08-03,1,1.0,3,2017,8,,
2017-08-04,1,0.0,4,2017,8,,
2017-08-05,1,1.0,5,2017,8,,
2017-08-06,1,0.0,6,2017,8,Friendship Day,Observance
2017-08-07,1,167.0,7,2017,8,Raksha Bandhan (Rakhi),Restricted Holiday
2017-08-08,1,136.0,8,2017,8,,
2017-08-09,1,108.0,9,2017,8,,
2017-08-10,1,130.0,10,2017,8,,
2017-08-11,1,146.0,11,2017,8,,
2017-08-12,1,125.0,12,2017,8,,
2017-08-13,1,78.0,13,2017,8,,
2017-08-14,1,202.0,14,2017,8,,
2017-08-15,1,66.0,15,2017,8,Independence Day,Gazetted Holiday
2017-08-15,1,66.0,15,2017,8,Janmashtami,Gazetted Holiday
2017-08-16,1,202.0,16,2017,8,,
2017-08-17,1,136.0,17,2017,8,Parsi New Year,Restricted Holiday
2017-08-18,1,142.0,18,2017,8,,
2017-08-19,1,138.0,19,2017,8,,
2017-08-20,1,113.0,20,2017,8,,
2017-08-21,1,179.0,21,2017,8,,
2017-08-22,1,170.0,22,2017,8,,
2017-08-23,1,186.0,23,2017,8,,
2017-08-24,1,154.0,24,2017,8,,
2017-08-25,1,195.0,25,2017,8,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2017-08-26,1,150.0,26,2017,8,,
2017-08-27,1,131.0,27,2017,8,,
2017-08-28,1,218.0,28,2017,8,,
2017-08-29,1,145.0,29,2017,8,,
2017-08-30,1,207.0,30,2017,8,,
2017-08-31,1,1397.0,31,2017,8,,
2017-09-04,1,3.0,4,2017,9,Onam,Restricted Holiday
2017-09-05,1,109.0,5,2017,9,,
2017-09-07,1,103.0,7,2017,9,,
2017-09-08,1,225.0,8,2017,9,,
2017-09-09,1,185.0,9,2017,9,,
2017-09-10,1,202.0,10,2017,9,,
2017-09-11,1,263.0,11,2017,9,,
2017-09-12,1,259.0,12,2017,9,,
2017-09-13,1,254.0,13,2017,9,,
2017-09-14,1,311.0,14,2017,9,,
2017-09-15,1,362.0,15,2017,9,,
2017-09-16,1,299.0,16,2017,9,,
2017-09-17,1,135.0,17,2017,9,,
2017-09-18,1,342.0,18,2017,9,,
2017-09-19,1,325.0,19,2017,9,,
2017-09-20,1,335.0,20,2017,9,,
2017-09-21,1,303.0,21,2017,9,,
2017-09-22,1,339.0,22,2017,9,,
2017-09-23,1,350.0,23,2017,9,September Equinox,Season
2017-09-24,1,416.0,24,2017,9,,
2017-09-25,1,424.0,25,2017,9,,
2017-09-26,1,526.0,26,2017,9,,
2017-09-27,1,311.0,27,2017,9,Maha Saptami,Restricted Holiday
2017-09-28,1,96.0,28,2017,9,Maha Ashtami,Restricted Holiday
2017-09-29,1,39.0,29,2017,9,Maha Navami,Restricted Holiday
2017-09-30,1,1417.0,30,2017,9,Dussehra,Gazetted Holiday
2017-10-01,1,22.0,1,2017,10,Muharram/Ashura,Gazetted Holiday
2017-10-02,1,3.0,2,2017,10,Mahatma Gandhi Jayanti,Gazetted Holiday
2017-10-03,1,3.0,3,2017,10,,
2017-10-04,1,5.0,4,2017,10,,
2017-10-05,1,8.0,5,2017,10,Maharishi Valmiki Jayanti,Restricted Holiday
2017-10-06,1,2.0,6,2017,10,,
2017-10-07,1,2.0,7,2017,10,,
2017-10-08,1,8.0,8,2017,10,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2017-10-09,1,87.0,9,2017,10,,
2017-10-10,1,137.0,10,2017,10,,
2017-10-11,1,275.0,11,2017,10,,
2017-10-12,1,218.0,12,2017,10,,
2017-10-13,1,249.0,13,2017,10,,
2017-10-14,1,235.0,14,2017,10,,
2017-10-15,1,243.0,15,2017,10,,
2017-10-16,1,406.0,16,2017,10,,
2017-10-17,1,428.0,17,2017,10,,
2017-10-18,1,392.0,18,2017,10,Naraka Chaturdasi,Restricted Holiday
2017-10-19,1,277.0,19,2017,10,Diwali/Deepavali,Gazetted Holiday
2017-10-20,1,134.0,20,2017,10,Govardhan Puja,Restricted Holiday
2017-10-21,1,58.0,21,2017,10,Bhai Duj,Restricted Holiday
2017-10-22,1,112.0,22,2017,10,,
2017-10-23,1,215.0,23,2017,10,,
2017-10-24,1,191.0,24,2017,10,,
2017-10-25,1,190.0,25,2017,10,,
2017-10-26,1,149.0,26,2017,10,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2017-10-27,1,201.0,27,2017,10,,
2017-10-28,1,160.0,28,2017,10,,
2017-10-29,1,109.0,29,2017,10,,
2017-10-30,1,200.0,30,2017,10,,
2017-10-31,1,1054.0,31,2017,10,Halloween,Observance
2017-11-01,1,44.0,1,2017,11,,
2017-11-02,1,0.0,2,2017,11,,
2017-11-03,1,0.0,3,2017,11,,
2017-11-04,1,0.0,4,2017,11,Guru Nanak Jayanti,Gazetted Holiday
2017-11-05,1,1.0,5,2017,11,,
2017-11-06,1,0.0,6,2017,11,,
2017-11-07,1,6.0,7,2017,11,,
2017-11-08,1,111.0,8,2017,11,,
2017-11-09,1,127.0,9,2017,11,,
2017-11-10,1,129.0,10,2017,11,,
2017-11-11,1,124.0,11,2017,11,,
