application_date,segment,case_count,day,year,month,Holiday,Type,cos_day,sin_day,cos_mon,sin_mon,day_of_week,week_num
2017-04-01,2,0.0,1,2017,4,,,0.9781476007338056,0.2079116908177593,-0.4999999999999998,0.8660254037844387,5,13
2017-04-02,2,0.0,2,2017,4,,,0.9135454576426008,0.40673664307580015,-0.4999999999999998,0.8660254037844387,6,13
2017-04-03,2,0.0,3,2017,4,,,0.8090169943749475,0.5877852522924731,-0.4999999999999998,0.8660254037844387,0,14
2017-04-04,2,0.0,4,2017,4,Rama Navami,G,0.6691306063588582,0.7431448254773941,-0.4999999999999998,0.8660254037844387,1,14
2017-04-05,2,0.0,5,2017,4,,,0.5000000000000001,0.8660254037844386,-0.4999999999999998,0.8660254037844387,2,14
2017-04-06,2,0.0,6,2017,4,,,0.30901699437494745,0.9510565162951536,-0.4999999999999998,0.8660254037844387,3,14
2017-04-07,2,0.0,7,2017,4,,,0.10452846326765346,0.9945218953682732,-0.4999999999999998,0.8660254037844387,4,14
2017-04-08,2,0.0,8,2017,4,,,-0.10452846326765332,0.9945218953682734,-0.4999999999999998,0.8660254037844387,5,14
2017-04-09,2,0.0,9,2017,4,Mahavir Jayanti,G,-0.3090169943749473,0.9510565162951536,-0.4999999999999998,0.8660254037844387,6,14
2017-04-10,2,0.0,10,2017,4,,,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.8660254037844387,0,15
2017-04-11,2,0.0,11,2017,4,First day of Passover,O,-0.6691306063588579,0.7431448254773945,-0.4999999999999998,0.8660254037844387,1,15
2017-04-11,2,0.0,11,2017,4,Hazarat Ali's Birthday,R,-0.6691306063588579,0.7431448254773945,-0.4999999999999998,0.8660254037844387,1,15
2017-04-12,2,0.0,12,2017,4,,,-0.8090169943749473,0.5877852522924732,-0.4999999999999998,0.8660254037844387,2,15
2017-04-13,2,0.0,13,2017,4,Maundy Thursday,C,-0.913545457642601,0.4067366430758,-0.4999999999999998,0.8660254037844387,3,15
2017-04-14,2,0.0,14,2017,4,Good Friday,G,-0.9781476007338056,0.2079116908177593,-0.4999999999999998,0.8660254037844387,4,15
2017-04-14,2,0.0,14,2017,4,Vaisakhi,R,-0.9781476007338056,0.2079116908177593,-0.4999999999999998,0.8660254037844387,4,15
2017-04-14,2,0.0,14,2017,4,Ambedkar Jayanti,O,-0.9781476007338056,0.2079116908177593,-0.4999999999999998,0.8660254037844387,4,15
2017-04-15,2,0.0,15,2017,4,Mesadi/Vaisakhadi,R,-1.0,5.665538897647981e-16,-0.4999999999999998,0.8660254037844387,5,15
2017-04-16,2,0.0,16,2017,4,Easter Day,R,-0.9781476007338056,-0.20791169081775907,-0.4999999999999998,0.8660254037844387,6,15
2017-04-17,2,0.0,17,2017,4,,,-0.9135454576426008,-0.4067366430758002,-0.4999999999999998,0.8660254037844387,0,16
2017-04-18,2,0.0,18,2017,4,,,-0.8090169943749475,-0.587785252292473,-0.4999999999999998,0.8660254037844387,1,16
2017-04-19,2,0.0,19,2017,4,,,-0.6691306063588585,-0.743144825477394,-0.4999999999999998,0.8660254037844387,2,16
2017-04-20,2,0.0,20,2017,4,,,-0.5000000000000004,-0.8660254037844385,-0.4999999999999998,0.8660254037844387,3,16
2017-04-21,2,0.0,21,2017,4,,,-0.3090169943749476,-0.9510565162951536,-0.4999999999999998,0.8660254037844387,4,16
2017-04-22,2,0.0,22,2017,4,,,-0.10452846326765423,-0.9945218953682732,-0.4999999999999998,0.8660254037844387,5,16
2017-04-23,2,0.0,23,2017,4,,,0.104528463267653,-0.9945218953682734,-0.4999999999999998,0.8660254037844387,6,16
