Date,Day,Holiday,Type
2020-01-01,Tuesday,New Year's Day,Restricted Holiday
2020-01-13,Sunday,Guru Govind Singh Jayanti,Restricted Holiday
2020-01-13,Sunday,Lohri,Restricted Holiday
2020-01-14,Monday,Makar Sankranti,Restricted Holiday
2020-01-15,Tuesday,Pongal,Restricted Holiday
2020-01-26,Saturday,Republic Day,Gazetted Holiday
2020-02-05,Tuesday,Chinese New Year,Observance
2020-02-10,Sunday,Vasant Panchami,Restricted Holiday
2020-02-14,Thursday,Valentine's Day,Observance
2020-02-19,Tuesday,Shivaji Jayanti,Restricted Holiday
2020-02-19,Tuesday,Guru Ravidas Jayanti,Restricted Holiday
2020-03-01,Friday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2020-03-04,Monday,Maha Shivaratri/Shivaratri,Gazetted Holiday
2020-03-21,Thursday,March Equinox,Season
2020-03-20,Wednesday,Holika Dahana,Restricted Holiday
2020-03-21,Thursday,Holi,Restricted Holiday
2020-03-21,Thursday,Dolyatra,Restricted Holiday
2020-03-21,Thursday,Hazarat Ali's Birthday,Restricted Holiday
2020-04-06,Saturday,Chaitra Sukhladi,Restricted Holiday
2020-04-13,Saturday,Rama Navami,Restricted Holiday
2020-04-14,Sunday,Vaisakhi,Restricted Holiday
2020-04-14,Sunday,Mesadi/Vaisakhadi,Restricted Holiday
2020-04-14,Sunday,Ambedkar Jayanti,Gazetted Holiday
2020-04-17,Wednesday,Mahavir Jayanti,Gazetted Holiday
2020-04-18,Thursday,Maundy Thursday,"Observance, Christian"
2020-04-19,Friday,Good Friday,Gazetted Holiday
2020-04-20,Saturday,First day of Passover,Observance
2020-04-21,Sunday,Easter Day,Restricted Holiday
2020-05-01,Wednesday,May Day,Observance
2020-05-07,Tuesday,Birthday of Ravindranath,Restricted Holiday
2020-05-12,Sunday,Mother's Day,Observance
2020-05-18,Saturday,Buddha Purnima/Vesak,Gazetted Holiday
2020-05-31,Friday,Jamat Ul-Vida,Restricted Holiday
2020-06-05,Wednesday,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday
2020-06-05,Wednesday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
2020-06-16,Sunday,Father's Day,Observance
2020-06-21,Friday,June Solstice,Season
2020-07-04,Thursday,Rath Yatra,Restricted Holiday
2020-07-16,Tuesday,Guru Purnima,Observance
2020-08-04,Sunday,Friendship Day,Observance
2020-08-12,Monday,Bakr Id/Eid ul-Adha,Gazetted Holiday
2020-08-15,Thursday,Independence Day,Gazetted Holiday
2020-08-15,Thursday,Raksha Bandhan (Rakhi),Restricted Holiday
2020-08-17,Saturday,Parsi New Year,Restricted Holiday
2020-08-23,Friday,Janmashtami (Smarta),Observance
2020-08-24,Saturday,Janmashtami,Gazetted Holiday
2020-09-02,Monday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2020-09-10,Tuesday,Muharram/Ashura,Gazetted Holiday
2020-09-11,Wednesday,Onam,Restricted Holiday
2020-09-23,Monday,September Equinox,Season
2020-10-02,Wednesday,Mahatma Gandhi Jayanti,Gazetted Holiday
2020-10-05,Saturday,Maha Saptami,Restricted Holiday
2020-10-06,Sunday,Maha Ashtami,Restricted Holiday
2020-10-07,Monday,Maha Navami,Restricted Holiday
2020-10-08,Tuesday,Dussehra,Gazetted Holiday
2020-10-13,Sunday,Maharishi Valmiki Jayanti,Restricted Holiday
2020-10-17,Thursday,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2020-10-27,Sunday,Naraka Chaturdasi,Restricted Holiday
2020-10-27,Sunday,Diwali/Deepavali,Gazetted Holiday
2020-10-28,Monday,Govardhan Puja,Restricted Holiday
2020-10-29,Tuesday,Bhai Duj,Restricted Holiday
2020-10-31,Thursday,Halloween,Observance
2020-11-02,Saturday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2020-11-10,Sunday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2020-11-12,Tuesday,Guru Nanak Jayanti,Gazetted Holiday
2020-11-24,Sunday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2020-12-22,Sunday,December Solstice,Season
2020-12-23,Monday,First Day of Hanukkah,Observance
2020-12-24,Tuesday,Christmas Eve,Restricted Holiday
2020-12-25,Wednesday,Christmas,Gazetted Holiday
2020-12-30,Monday,Last day of Hanukkah,Observance
2020-12-31,Tuesday,New Year's Eve,Observance
