id,application_date,segment,case_count
88,2019-07-24,2,1685.0
89,2019-07-25,2,1512.0
90,2019-07-26,2,1370.0
91,2019-07-27,2,1075.0
92,2019-07-28,2,538.0
93,2019-07-29,2,374.0
94,2019-07-30,2,143.0
95,2019-07-31,2,50.0
96,2019-08-01,2,240.0
97,2019-08-02,2,269.0
98,2019-08-03,2,242.0
99,2019-08-04,2,200.0
100,2019-08-05,2,200.0
101,2019-08-06,2,217.0
102,2019-08-07,2,212.0
103,2019-08-08,2,216.0
104,2019-08-09,2,244.0
105,2019-08-10,2,163.0
106,2019-08-11,2,159.0
107,2019-08-12,2,376.0
108,2019-08-13,2,350.0
109,2019-08-14,2,262.0
110,2019-08-15,2,302.0
111,2019-08-16,2,322.0
112,2019-08-17,2,324.0
113,2019-08-18,2,192.0
114,2019-08-19,2,286.0
115,2019-08-20,2,283.0
116,2019-08-21,2,265.0
117,2019-08-22,2,236.0
118,2019-08-23,2,216.0
119,2019-08-24,2,244.0
120,2019-08-25,2,127.0
121,2019-08-26,2,123.0
122,2019-08-27,2,125.0
123,2019-08-28,2,105.0
124,2019-08-29,2,64.0
125,2019-08-30,2,34.0
126,2019-08-31,2,25.0
127,2019-09-01,2,66.0
128,2019-09-02,2,77.0
129,2019-09-03,2,95.0
130,2019-09-04,2,90.0
131,2019-09-05,2,98.0
132,2019-09-06,2,106.0
133,2019-09-07,2,111.0
134,2019-09-08,2,104.0
135,2019-09-09,2,179.0
136,2019-09-10,2,190.0
137,2019-09-11,2,301.0
138,2019-09-12,2,246.0
139,2019-09-13,2,338.0
140,2019-09-14,2,344.0
141,2019-09-15,2,248.0
142,2019-09-16,2,295.0
143,2019-09-17,2,405.0
144,2019-09-18,2,390.0
145,2019-09-19,2,322.0
146,2019-09-20,2,203.0
147,2019-09-21,2,258.0
148,2019-09-22,2,205.0
149,2019-09-23,2,204.0
150,2019-09-24,2,228.0
151,2019-09-25,2,167.0
152,2019-09-26,2,172.0
153,2019-09-27,2,114.0
154,2019-09-28,2,54.0
155,2019-09-29,2,13.0
156,2019-09-30,2,11.0
157,2019-10-01,2,67.0
158,2019-10-02,2,91.0
159,2019-10-03,2,73.0
160,2019-10-04,2,83.0
161,2019-10-05,2,98.0
162,2019-10-06,2,61.0
163,2019-10-07,2,88.0
164,2019-10-08,2,109.0
165,2019-10-09,2,146.0
166,2019-10-10,2,178.0
167,2019-10-11,2,246.0
168,2019-10-12,2,255.0
169,2019-10-13,2,162.0
170,2019-10-14,2,259.0
171,2019-10-15,2,300.0
172,2019-10-16,2,231.0
173,2019-10-17,2,271.0
174,2019-10-18,2,191.0
175,2019-10-19,2,162.0
176,2019-10-20,2,112.0
177,2019-10-21,2,224.0
178,2019-10-22,2,238.0
179,2019-10-23,2,231.0
180,2019-10-24,2,159.0
