id,application_date,segment,case_count
1,7/6/2019,1,2
2,7/7/2019,1,1
3,7/8/2019,1,2
4,7/9/2019,1,1
5,7/10/2019,1,2
6,7/11/2019,1,2
7,7/12/2019,1,3
8,7/13/2019,1,2
9,7/14/2019,1,1
10,7/15/2019,1,3
11,7/16/2019,1,3
12,7/17/2019,1,4
13,7/18/2019,1,4
14,7/19/2019,1,3
15,7/20/2019,1,3
16,7/21/2019,1,1
17,7/22/2019,1,4
18,7/23/2019,1,3
19,7/24/2019,1,3
20,7/25/2019,1,3
21,7/26/2019,1,3
22,7/27/2019,1,3
23,7/28/2019,1,1
24,7/29/2019,1,4
25,7/30/2019,1,3
26,7/31/2019,1,8
27,8/1/2019,1,3
28,8/2/2019,1,3
29,8/3/2019,1,3
30,8/4/2019,1,2
31,8/5/2019,1,4
32,8/6/2019,1,3
33,8/7/2019,1,5
34,8/8/2019,1,4
35,8/9/2019,1,4
36,8/10/2019,1,3
37,8/11/2019,1,2
38,8/12/2019,1,5
39,8/13/2019,1,4
40,8/14/2019,1,5
41,8/15/2019,1,5
42,8/16/2019,1,5
43,8/17/2019,1,4
44,8/18/2019,1,2
45,8/19/2019,1,5
46,8/20/2019,1,4
47,8/21/2019,1,5
48,8/22/2019,1,5
49,8/23/2019,1,5
50,8/24/2019,1,4
51,8/25/2019,1,2
52,8/26/2019,1,5
53,8/27/2019,1,4
54,8/28/2019,1,5
55,8/29/2019,1,5
56,8/30/2019,1,5
57,8/31/2019,1,9
58,9/1/2019,1,1
59,9/2/2019,1,4
60,9/3/2019,1,4
61,9/4/2019,1,6
62,9/5/2019,1,5
63,9/6/2019,1,4
64,9/7/2019,1,4
65,9/8/2019,1,2
66,9/9/2019,1,7
67,9/10/2019,1,6
68,9/11/2019,1,8
69,9/12/2019,1,6
70,9/13/2019,1,6
71,9/14/2019,1,5
72,9/15/2019,1,3
73,9/16/2019,1,7
74,9/17/2019,1,6
75,9/18/2019,1,7
76,9/19/2019,1,6
77,9/20/2019,1,5
78,9/21/2019,1,4
79,9/22/2019,1,2
80,9/23/2019,1,6
81,9/24/2019,1,5
82,9/25/2019,1,5
83,9/26/2019,1,5
84,9/27/2019,1,5
85,9/28/2019,1,5
86,9/29/2019,1,3
87,9/30/2019,1,9
88,7/24/2019,2,1685
89,7/25/2019,2,1512
90,7/26/2019,2,1370
91,7/27/2019,2,1075
92,7/28/2019,2,538
93,7/29/2019,2,374
94,7/30/2019,2,143
95,7/31/2019,2,50
96,8/1/2019,2,240
97,8/2/2019,2,269
98,8/3/2019,2,242
99,8/4/2019,2,200
100,8/5/2019,2,200
101,8/6/2019,2,217
102,8/7/2019,2,212
103,8/8/2019,2,216
104,8/9/2019,2,244
105,8/10/2019,2,163
106,8/11/2019,2,159
107,8/12/2019,2,376
108,8/13/2019,2,350
109,8/14/2019,2,262
110,8/15/2019,2,302
111,8/16/2019,2,322
112,8/17/2019,2,324
113,8/18/2019,2,192
114,8/19/2019,2,286
115,8/20/2019,2,283
116,8/21/2019,2,265
117,8/22/2019,2,236
118,8/23/2019,2,216
119,8/24/2019,2,244
120,8/25/2019,2,127
121,8/26/2019,2,123
122,8/27/2019,2,125
123,8/28/2019,2,105
124,8/29/2019,2,64
125,8/30/2019,2,34
126,8/31/2019,2,25
127,9/1/2019,2,66
128,9/2/2019,2,77
129,9/3/2019,2,95
130,9/4/2019,2,90
131,9/5/2019,2,98
132,9/6/2019,2,106
133,9/7/2019,2,111
134,9/8/2019,2,104
135,9/9/2019,2,179
136,9/10/2019,2,190
137,9/11/2019,2,301
138,9/12/2019,2,246
139,9/13/2019,2,338
140,9/14/2019,2,344
141,9/15/2019,2,248
142,9/16/2019,2,295
143,9/17/2019,2,405
144,9/18/2019,2,390
145,9/19/2019,2,322
146,9/20/2019,2,203
147,9/21/2019,2,258
148,9/22/2019,2,205
149,9/23/2019,2,204
150,9/24/2019,2,228
151,9/25/2019,2,167
152,9/26/2019,2,172
153,9/27/2019,2,114
154,9/28/2019,2,54
155,9/29/2019,2,13
156,9/30/2019,2,11
157,10/1/2019,2,67
158,10/2/2019,2,91
159,10/3/2019,2,73
160,10/4/2019,2,83
161,10/5/2019,2,98
162,10/6/2019,2,61
163,10/7/2019,2,88
164,10/8/2019,2,109
165,10/9/2019,2,146
166,10/10/2019,2,178
167,10/11/2019,2,246
168,10/12/2019,2,255
169,10/13/2019,2,162
170,10/14/2019,2,259
171,10/15/2019,2,300
172,10/16/2019,2,231
173,10/17/2019,2,271
174,10/18/2019,2,191
175,10/19/2019,2,162
176,10/20/2019,2,112
177,10/21/2019,2,224
178,10/22/2019,2,238
179,10/23/2019,2,231
180,10/24/2019,2,159
