id,application_date,segment,case_count
1,7/6/2019,1,25
2,7/7/2019,1,26
3,7/8/2019,1,28
4,7/9/2019,1,27
5,7/10/2019,1,23
6,7/11/2019,1,29
7,7/12/2019,1,22
8,7/13/2019,1,30
9,7/14/2019,1,27
10,7/15/2019,1,30
11,7/16/2019,1,28
12,7/17/2019,1,7
13,7/18/2019,1,28
14,7/19/2019,1,27
15,7/20/2019,1,29
16,7/21/2019,1,28
17,7/22/2019,1,26
18,7/23/2019,1,27
19,7/24/2019,1,20
20,7/25/2019,1,30
21,7/26/2019,1,27
22,7/27/2019,1,31
23,7/28/2019,1,31
24,7/29/2019,1,4
25,7/30/2019,1,27
26,7/31/2019,1,27
27,8/1/2019,1,29
28,8/2/2019,1,28
29,8/3/2019,1,25
30,8/4/2019,1,28
31,8/5/2019,1,21
32,8/6/2019,1,30
33,8/7/2019,1,28
34,8/8/2019,1,31
35,8/9/2019,1,30
36,8/10/2019,1,6
37,8/11/2019,1,28
38,8/12/2019,1,27
39,8/13/2019,1,29
40,8/14/2019,1,28
41,8/15/2019,1,26
42,8/16/2019,1,28
43,8/17/2019,1,21
44,8/18/2019,1,30
45,8/19/2019,1,28
46,8/20/2019,1,31
47,8/21/2019,1,31
48,8/22/2019,1,5
49,8/23/2019,1,28
50,8/24/2019,1,27
51,8/25/2019,1,29
52,8/26/2019,1,28
53,8/27/2019,1,26
54,8/28/2019,1,28
55,8/29/2019,1,21
56,8/30/2019,1,30
57,8/31/2019,1,28
58,9/1/2019,1,31
59,9/2/2019,1,30
60,9/3/2019,1,6
61,9/4/2019,1,28
62,9/5/2019,1,27
63,9/6/2019,1,30
64,9/7/2019,1,28
65,9/8/2019,1,26
66,9/9/2019,1,28
67,9/10/2019,1,22
68,9/11/2019,1,31
69,9/12/2019,1,28
70,9/13/2019,1,31
71,9/14/2019,1,31
72,9/15/2019,1,6
73,9/16/2019,1,28
74,9/17/2019,1,27
75,9/18/2019,1,30
76,9/19/2019,1,29
77,9/20/2019,1,26
78,9/21/2019,1,29
79,9/22/2019,1,22
80,9/23/2019,1,31
81,9/24/2019,1,28
82,9/25/2019,1,32
83,9/26/2019,1,31
84,9/27/2019,1,6
85,9/28/2019,1,29
86,9/29/2019,1,28
87,9/30/2019,1,30
88,7/24/2019,2,635
89,7/25/2019,2,678
90,7/26/2019,2,555
91,7/27/2019,2,666
92,7/28/2019,2,569
93,7/29/2019,2,593
94,7/30/2019,2,604
95,7/31/2019,2,534
96,8/1/2019,2,474
97,8/2/2019,2,366
98,8/3/2019,2,542
99,8/4/2019,2,718
100,8/5/2019,2,726
101,8/6/2019,2,734
102,8/7/2019,2,576
103,8/8/2019,2,726
104,8/9/2019,2,674
105,8/10/2019,2,690
106,8/11/2019,2,755
107,8/12/2019,2,690
108,8/13/2019,2,578
109,8/14/2019,2,387
110,8/15/2019,2,638
111,8/16/2019,2,747
112,8/17/2019,2,686
113,8/18/2019,2,712
114,8/19/2019,2,572
115,8/20/2019,2,702
116,8/21/2019,2,626
117,8/22/2019,2,646
118,8/23/2019,2,682
119,8/24/2019,2,615
120,8/25/2019,2,530
121,8/26/2019,2,383
122,8/27/2019,2,594
123,8/28/2019,2,739
124,8/29/2019,2,715
125,8/30/2019,2,731
126,8/31/2019,2,581
127,9/1/2019,2,722
128,9/2/2019,2,659
129,9/3/2019,2,677
130,9/4/2019,2,728
131,9/5/2019,2,662
132,9/6/2019,2,563
133,9/7/2019,2,392
134,9/8/2019,2,624
135,9/9/2019,2,750
136,9/10/2019,2,707
137,9/11/2019,2,729
138,9/12/2019,2,584
139,9/13/2019,2,719
140,9/14/2019,2,648
141,9/15/2019,2,668
142,9/16/2019,2,711
143,9/17/2019,2,644
144,9/18/2019,2,553
145,9/19/2019,2,395
146,9/20/2019,2,616
147,9/21/2019,2,752
148,9/22/2019,2,718
149,9/23/2019,2,737
150,9/24/2019,2,590
151,9/25/2019,2,728
152,9/26/2019,2,661
153,9/27/2019,2,680
154,9/28/2019,2,727
155,9/29/2019,2,661
156,9/30/2019,2,565
157,10/1/2019,2,401
158,10/2/2019,2,628
159,10/3/2019,2,758
160,10/4/2019,2,719
161,10/5/2019,2,740
162,10/6/2019,2,594
163,10/7/2019,2,730
164,10/8/2019,2,662
165,10/9/2019,2,681
166,10/10/2019,2,726
167,10/11/2019,2,660
168,10/12/2019,2,566
169,10/13/2019,2,405
170,10/14/2019,2,629
171,10/15/2019,2,762
172,10/16/2019,2,726
173,10/17/2019,2,746
174,10/18/2019,2,599
175,10/19/2019,2,736
176,10/20/2019,2,669
177,10/21/2019,2,688
178,10/22/2019,2,734
179,10/23/2019,2,668
180,10/24/2019,2,573
